CN,LAT,LON,BGI
17904994010661,46.77781,-69.19394,4217.0
17905051010661,47.38893,-69.2495,3698.0
17905111010661,47.22226,-69.27727,3858.0
17905176010661,47.13892,-69.27727,3758.0
17905212010661,47.00003,-69.27727,4018.0
17905251010661,46.83337,-69.24949,4274.0
17905347010661,46.77781,-69.30505,4124.0
17905423010661,46.77781,-69.24949,4306.0
17905484010661,46.63892,-69.30505,4169.0
17905615010661,46.58337,-69.33283,3684.0
17905649010661,47.08337,-69.41616,4127.0
17905703010661,47.13892,-69.38838,3587.0
17905757010661,47.00003,-69.41616,4239.0
17905798010661,46.88892,-69.47172,4380.0
17905882010661,46.77781,-69.44394,3836.0
17905931010661,46.69448,-69.38839,4432.0
17905933010661,46.63892,-69.4995,3853.0
17905962010661,46.61114,-69.38839,4317.0
17906022010661,46.94447,-69.52728,3765.0
17906112010661,46.75003,-69.77729,2882.0
17906182010661,46.9167,-69.52728,4163.0
17906276010661,46.83336,-69.58283,3328.0
17906345010661,46.77781,-69.58283,4316.0
17906419010661,46.66669,-69.74951,3150.0
17906516010661,46.69447,-69.66617,4017.0
17906582010661,46.63892,-69.63839,3626.0
17906630010661,47.13893,-68.52727,3315.0
17906694010661,47.08337,-68.55505,3807.0
17906795010661,46.91671,-68.55504,4084.0
17906854010661,46.91671,-68.58282,3501.0
17906922010661,46.63893,-68.55504,4517.0
17906988010661,46.44449,-68.58282,4442.0
17907030010661,47.22226,-68.69394,3952.0
17907138010661,47.13893,-68.74949,3983.0
17907189010661,47.16671,-68.66616,4196.0
17907273010661,47.00004,-68.69393,4086.0
17907333010661,46.97226,-68.63838,2880.0
17907397010661,46.77782,-68.74949,4356.0
17907462010661,46.66671,-68.77727,3964.0
17907516010661,46.66671,-68.72171,3524.0
17907572010661,46.61115,-68.69393,3869.0
17907648010661,47.1667,-68.83282,3833.0
17907736010661,47.13893,-68.80505,3764.0
17907789010661,47.08337,-68.77727,4099.0
17907839010661,47.02782,-68.77727,4073.0
17907872010661,46.97226,-68.83282,3881.0
17907921010661,46.94448,-68.83282,3558.0
17907976010661,46.91671,-68.77727,4231.0
17908034010661,46.75004,-68.80505,4199.0
17908089010661,46.72226,-68.69393,2829.0
17908142010661,46.44449,-68.80505,3798.0
17908233010661,47.19448,-68.44393,3702.0
17908235010661,46.72226,-68.49949,4403.0
17908299010661,46.69449,-68.44393,4178.0
17908369010661,46.50004,-68.44393,4211.0
17908482010661,46.47226,-68.44393,4325.0
17908484010661,47.25004,-68.3606,4051.0
17908486010661,47.27782,-68.24948,4216.0
17908569010661,47.11115,-68.33282,4196.0
17908629010661,47.02782,-68.30504,4315.0
17908681010661,46.91671,-68.33282,4078.0
17908762010661,46.88893,-68.27726,4277.0
17908792010661,46.75004,-68.24948,3134.0
17908873010661,46.66671,-68.27726,3130.0
17908875010661,46.83337,-68.2217,4533.0
17908877010661,46.72226,-68.19392,3902.0
17908970010661,46.50004,-68.19392,4441.0
17909020010661,46.47227,-68.2217,4383.0
17909076010661,47.27782,-68.11059,4526.0
17909078010661,46.97226,-68.02725,4375.0
17909095010661,46.97226,-68.05503,4904.0
17909097010661,46.91671,-68.08281,4364.0
17909099010661,46.66671,-68.08281,4373.0
17909160010661,46.94449,-67.99947,3686.0
17909162010661,46.88893,-67.88835,4630.0
17909164010661,46.63893,-67.91614,5151.0
17909166010661,46.50004,-67.99947,4449.0
17909239010661,46.44449,-67.88836,4326.0
17909241010661,46.94449,-67.80502,4715.0
17909243010661,46.75004,-67.8328,4799.0
