cn,t1,variant,oBA,dBA,cBA,oTPH,dTPH,cTPH,oQMD,dQMD,cQMD,oVOL,dVOL,cVOL
222474148010661,73088997010538,ne,37.050422570148434,38.59987091064453,38.974757653808595,3750.764041407582,3051.4244627364255,3453.801729799292,11.214192824015973,12.69015079498291,11.985830898284913,159.19935033306584,175.4281594519043,174.2856755698242
815194037290487,375823425489998,ne,4.959088560967606,10.691025894165039,10.914783944702148,1682.0601200244193,1672.5702586690795,1851.1468797481934,6.126486535754019,9.020750861167908,8.663877053260803,1.446289264839477,4.465932216953277,4.340097036920548
247064809010661,122567282010661,ne,33.378810476898295,37.35299044189453,37.02632824707031,2417.5272361429584,2800.5446325167723,3005.0566101938966,13.258092614995455,13.030665378570557,12.524320316314697,143.49835456943632,188.6412034908447,185.33929502282714
70386903010538,52817210010538,ne,28.845904042602545,30.18626201171875,28.031742291259764,5566.662400363876,4905.870706066699,4666.625823011792,8.122242352885339,8.850580167770385,8.744778122901916,87.27438626609445,80.76948201080322,77.93003187615966
70380279010538,52810224010538,ne,61.70420721560243,62.3585416015625,62.50511760253906,5627.432458124903,4443.900984325122,4863.000697745947,11.814995247163779,13.365677633285523,12.791774921417236,278.0738277043408,268.7570195830078,266.8853066472168
610880066126144,15802468020004,ne,36.7868749468001,43.20888350830078,43.75730505371094,2253.9471663373356,2417.749833370056,2788.5486195074704,14.414709370879637,15.083635997772218,14.133878078460693,184.70370244650067,276.24073104003907,274.26229957604977
815125909290487,168262733020004,ne,11.149478500936246,15.949657141113281,15.875340887451172,133.8382389318732,189.8723903193924,218.2935057799942,32.566304474273885,32.701671562194825,30.427500782012938,74.94918295861947,138.75297957482908,137.56205165911865
1287087260290487,509641989126144,ne,16.71432719601065,16.933157653808593,16.92138967285156,742.2593758302133,716.7328196440612,793.2798344379455,16.931596578946014,17.34265266418457,16.47896628379822,124.6915062470629,122.8311059442749,121.71638970098876
511169738126144,15806666020004,ne,55.55831109112677,50.53126529541016,58.305609020996094,1232.9995852470818,849.2039415793945,1346.753881946338,23.951039158948383,27.52322311401367,23.47665325164795,394.29360068674595,414.877332293457,444.6808322407226
247062065010661,122565039010661,ne,16.42737467283291,16.4436986328125,16.01385902709961,1172.2295274860558,1406.35960888667,1486.1741639989746,13.35700416486988,12.200473804473877,11.712195711135864,55.2924286464909,54.02124580264282,52.750317391021724
815125866290487,245793498489998,ne,20.095187656702645,14.610521166992188,14.584530184936524,378.5651456335439,72.90979768560219,85.37136260759812,25.996029939749658,50.50857398986817,46.63535110473633,205.3892071383701,169.13275616101072,168.5666683852539
107545828010661,53047153010538,ne,33.63660286307554,42.29170620117188,42.157343115234376,7270.385695536846,7454.307824163867,7909.638097029492,7.674651203542481,8.498634595870971,8.23727458000183,73.63112306462428,92.7678753203125,91.20565976971434
144988477010661,55967629010538,ne,12.169830343246037,20.762467065429686,20.95640927734375,1208.7636180714792,3159.431111385791,3495.668475798413,11.321471572939428,9.146610426902772,8.736117072105408,31.107650085914983,56.775549809478754,48.251674037963866
247056252010661,75975969010538,ne,29.391885192210527,32.992506811523434,32.9717595703125,2594.691825371928,2854.820339846997,3109.275234719678,12.008869847404322,12.129513988494873,11.618946800231933,127.93734069861243,141.38730417126465,140.08992226232908
815194406290487,375823794489998,ne,19.057072967690925,24.452750341796875,23.457338208007812,2846.210991785275,2539.3718617676514,2579.5759553564208,9.232639134348899,11.071996173858643,10.759458322525024,59.13314743856904,91.4448505857544,87.71497573150634
171138085020004,145024623010661,ne,27.258592002837002,27.65978090209961,27.561662426757813,995.064938257085,995.1051594743042,1095.520300708136,18.674857912820674,18.811137399673463,17.89648150444031,164.87525176488484,169.3306453876953,167.76951357714842
75797305010538,52905643010538,ne,18.774255682479843,17.302698181152344,17.37279807128906,2409.4485804177575,1434.1713314713622,1587.5219078434204,9.959873930027422,12.39314736366272,11.803211231231689,56.036898494205644,75.04998842321777,73.89541273284911
375682479489998,222441037010661,ne,33.82791321602664,35.60962659912109,35.344813745117186,1491.3110113721007,1633.7440671504273,1792.8137817119384,16.993576857316242,16.657768354415893,15.84237723350525,255.07432060046045,295.1293473276367,290.88504581787106
220913421010661,74332934010538,ne,18.551342104111143,23.593130688476563,23.08526295776367,682.7757140827141,997.222160613446,1071.506481032666,18.59858667644227,17.354895133972168,16.561328020095825,120.29780639158814,154.32873052648924,150.52555388452149
171871671020004,144988134010661,ne,28.287459903663656,26.87854321899414,27.02560619506836,1853.7188455552428,2186.217793349707,2418.5906613079833,13.938189075957888,12.510688638687133,11.927013025283813,162.98254588137746,163.70999401281736,162.07264199645996
375823625489998,247056624010661,ne,49.96235582844506,46.08258311767578,49.81861402587891,4752.621239376343,4199.6458225082515,4990.464180289527,11.568742651280166,11.819173192977905,11.273284759521484,248.0943806021251,234.34528627001953,242.71179359936522
606237490126144,243883001489998,ne,13.770261824287827,10.039863113403321,10.033280191040038,4083.4300447169753,526.5971144410584,582.799599728952,6.552240766215648,15.57936882019043,14.804270782470704,61.27700752662977,65.62367292428588,64.89336439721679
459836526489998,247062908010661,ne,60.47073099232582,52.89313656005859,53.59874595947266,913.918101361037,587.1529769512482,613.7401071696625,29.023533044523848,33.86485879898071,33.34341775894165,404.57227116143065,456.82728833471674,461.3128116064453
222518507010661,75762464010538,ne,25.585606726779194,30.80720430908203,26.46198156738281,2366.12223012066,2307.062037052075,1855.1003546785767,11.733040792509048,13.03831995010376,13.475741167068481,82.5146279132792,111.10284550927733,102.75628923693847
171137936020004,145023947010661,ne,31.13082473925941,35.62524483642578,34.76539395751953,757.1302912670882,1371.8205086927856,1388.1005966037596,22.8792250795391,18.182583227157593,17.856167831420898,164.6084620279999,208.0100616887207,204.02420231433103
375682618489998,222442617010661,ne,6.65747811563248,7.833645205688477,7.78837841796875,178.45098524249758,359.3268012304138,405.35458977419125,21.793486167507332,16.659512434005737,15.639801177978516,30.240599532604183,30.345739041854856,29.72534906282043
251632996489998,168988999010661,ne,8.204926165556607,10.33134310913086,10.261922006225586,252.8055624268716,431.7631100400513,478.05483560470276,20.327095819880128,17.45342836380005,16.53105854988098,33.2866979045703,54.83811699963378,53.79072490701294
511303120126144,247057474010661,ne,30.55520352011237,43.70695393066406,44.79178380126953,237.9346469899968,373.05853949956054,459.75246223979184,40.43384626460856,38.619970684051516,35.21781400680542,191.66677469827096,369.395510092041,376.071929078125
75976743010538,52979145010538,ne,26.892966580753445,25.92556098022461,25.870438201904296,1201.9713583598052,972.6042268024842,1085.362345112201,16.877324670254104,18.421338033676147,17.41965741157532,162.81595295704744,186.7487714932861,185.03550647302245
14520629020004,116424671010661,ne,14.745856881842077,14.964690447998047,14.917914562988281,793.6643818525115,418.7562936513794,463.47653819374693,15.379700225870566,21.32938606262207,20.242555599212647,71.15334974708769,115.23834634460448,114.22260031481933
375682885489998,222441679010661,ne,20.236072316917177,26.788503625488282,27.588260375976564,1261.4550201073048,1939.8236859156739,2287.311856011804,14.290865608229577,13.259231853485108,12.39152440071106,100.84163754126808,134.4976529300537,133.54740917297363
168928269010661,70414241010538,ne,37.80268002443138,37.64069112548828,37.712682861328126,1499.3896670973015,1295.2365427159789,1450.2657585407958,17.915764570436824,19.234435205459594,18.19470700263977,199.235302502334,231.77986023400877,230.3240986766357
815193872290487,375823260489998,ne,13.271212129900276,13.064916510009766,13.106481060791015,1045.1835482658564,680.2619266891113,753.3187137295349,12.71423755064327,15.636528606414796,14.88260175704956,81.61475309115708,91.74104442181395,90.97376499890136
247062529010661,122564105010661,ne,22.693392722789163,28.828899505615233,27.525100756835936,327.1601396112456,455.1017034055481,449.2684690125,29.71671714402824,28.397820892333986,27.927796287536623,148.15959804636628,215.03438683142087,206.8648812565918
1287086869290487,509642568126144,ne,41.97346632178256,42.589731457519534,42.91880050048828,2017.2989153608657,1719.9787771796264,1942.2541688250367,16.27547225629805,17.754810161590576,16.772427053451537,264.97069166606644,288.0968130673828,287.57788078393554
