"PLOT","YEAR_PREV","YEAR_CURR","tree_idx","SP","DBH_cm","HT_m","EXPF_ha"
1109,1990,2000,3,"RS",34.0972146911185,21.1130212712832,12.3552690735
1109,1990,2000,4,"YB",32.5437210212941,9.82350759614986,12.3552690735
1109,1990,2000,5,"BF",31.4396644002994,21.4225509353936,12.3552690735
1109,1990,2000,6,"BF",31.0171828879773,7.51434120748268,12.3552690735
1109,1990,2000,7,"YB",30.7046179935406,9.81337959607545,12.3552690735
1109,1990,2000,8,"RM",29.5622132619908,7.3459122420974,12.3552690735
1109,1990,2000,9,"RS",26.9818335569391,20.2317653158818,12.3552690735
1109,1990,2000,10,"BF",26.5170364655501,20.7732147888451,12.3552690735
1109,1990,2000,11,"RS",25.8724025213381,13.6707925992047,12.3552690735
1109,1990,2000,12,"YB",22.875182210235,8.89578722550901,12.3552690735
1109,1990,2000,13,"BF",22.7523913350034,9.4192355823789,12.3552690735
1109,1990,2000,14,"BF",22.4521717869922,10.0582506076075,12.3552690735
1109,1990,2000,15,"PB",22.2658882632968,5.98652987736119,12.3552690735
1109,1990,2000,16,"BF",21.1441292540302,11.3312564124612,12.3552690735
1109,1990,2000,17,"BF",18.5439545086951,14.4908542786086,12.3552690735
1109,1990,2000,18,"BF",17.7950142912211,13.8575059363604,12.3552690735
1109,1990,2000,19,"BF",16.1996979216446,8.10568486438168,12.3552690735
1109,1990,2000,20,"BF",15.3363864900955,10.675842996823,12.3552690735
1109,1990,2000,21,"PB",14.8132079793085,4.70407518021918,12.3552690735
1109,1990,2000,22,"BF",14.8624584128928,9.06840871401331,12.3552690735
1109,1990,2000,23,"PB",14.5829939442521,4.06165010165878,12.3552690735
1109,1990,2000,24,"PB",13.8584633298329,3.40717171949766,12.3552690735
